sample_name,species,habitat,population,colony_ID,colony_position,DART_wrong
CD_1,P_acuta,Inner mangrove,Mangrove,AA,Exposed,19.1
CD_2,P_acuta,Inner mangrove,Mangrove,AA,Exposed,19.1
CD_3,P_acuta,Inner mangrove,Mangrove,AA,Cryptic,19.1
CD_4A.3,P_acuta,Inner mangrove,Mangrove,AA,Cryptic,19.1
CD_5,P_acuta,Inner mangrove,Hybrid,AB,Exposed,20
CD_6A.3,P_acuta,Inner mangrove,Hybrid,AB,Exposed,20
CD_7A.3,P_acuta,Inner mangrove,Hybrid,AB,Cryptic,20
CD_8A.3,P_acuta,Inner mangrove,Hybrid,AB,Cryptic,20
CD_9,P_acuta,Inner mangrove,Hybrid,AC,Exposed,21
CD_10,P_acuta,Inner mangrove,Hybrid,AC,Exposed,21
CD_11A,P_acuta,Inner mangrove,Hybrid,AC,Cryptic,21
CD_12,P_acuta,Inner mangrove,Hybrid,AC,Cryptic,21
CD_13A,P_acuta,Inner mangrove,Mangrove,AD,Exposed,22.1
CD_14,P_acuta,Inner mangrove,Mangrove,AD,Exposed,22.1
CD_15,P_acuta,Inner mangrove,Mangrove,AD,Cryptic,22.1
CD_16,P_acuta,Inner mangrove,Mangrove,AD,Cryptic,22.1
CD_17,P_acuta,Inner mangrove,Mangrove,AE,Exposed,23
CD_18,P_acuta,Inner mangrove,Mangrove,AE,Exposed,23
CD_19,P_acuta,Inner mangrove,Mangrove,AE,Cryptic,23
CD_20,P_acuta,Inner mangrove,Mangrove,AE,Cryptic,23
CD_21A,P_acuta,Inner mangrove,Mangrove,AF,Exposed,24
CD_22A,P_acuta,Inner mangrove,Mangrove,AF,Exposed,24
CD_23,P_acuta,Inner mangrove,Mangrove,AF,Cryptic,24
CD_24,P_acuta,Inner mangrove,Mangrove,AF,Cryptic,24
CD_41A,P_acuta,Outer mangrove,Mangrove,BA,Exposed,25.1
CD_42A,P_acuta,Outer mangrove,Mangrove,BA,Exposed,25.1
CD_43A,P_acuta,Outer mangrove,Mangrove,BA,Cryptic,25.1
CD_44A.2,P_acuta,Outer mangrove,Mangrove,BA,Cryptic,25.1
CD_45A,P_acuta,Outer mangrove,Mangrove,BB,Exposed,26.1
CD_46A,P_acuta,Outer mangrove,Mangrove,BB,Exposed,26.1
CD_47,P_acuta,Outer mangrove,Mangrove,BB,Cryptic,26.1
CD_48,P_acuta,Outer mangrove,Mangrove,BB,Cryptic,26.1
CD_49A,P_acuta,Outer mangrove,Mangrove,BC,Exposed,26
CD_50_rd_CL,P_acuta,Outer mangrove,Mangrove,BC,Exposed,26
CD_51.2,P_acuta,Outer mangrove,Mangrove,BC,Cryptic,26
CD_52,P_acuta,Outer mangrove,Mangrove,BC,Cryptic,26
CD_53,P_acuta,Outer mangrove,Mangrove,BD,Exposed,28
CD_54A,P_acuta,Outer mangrove,Mangrove,BD,Exposed,28
CD_55,P_acuta,Outer mangrove,Mangrove,BD,Cryptic,28
CD_56,P_acuta,Outer mangrove,Mangrove,BD,Cryptic,28
CD_57A,P_acuta,Outer mangrove,Mangrove,BE,Exposed,29
CD_58A,P_acuta,Outer mangrove,Mangrove,BE,Exposed,29
CD_59A,P_acuta,Outer mangrove,Mangrove,BE,Cryptic,29
CD_60,P_acuta,Outer mangrove,Mangrove,BE,Cryptic,29
CD_61A,P_acuta,Outer mangrove,Mangrove,BF,Exposed,30.1
CD_62A,P_acuta,Outer mangrove,Mangrove,BF,Exposed,30.1
CD_63.2,P_acuta,Outer mangrove,Mangrove,BF,Cryptic,30.1
CD_64A,P_acuta,Outer mangrove,Mangrove,BF,Cryptic,30.1
CD_81A,P_acuta,Inner reef,Reef,CA,Exposed,30
CD_82A.2,P_acuta,Inner reef,Reef,CA,Exposed,30
CD_83,P_acuta,Inner reef,Reef,CA,Cryptic,30
CD_84A,P_acuta,Inner reef,Reef,CA,Cryptic,30
CD_85A,P_acuta,Inner reef,Reef,CB,Exposed,31.1
CD_86A_rd_CL,P_acuta,Inner reef,Reef,CB,Exposed,31.1
CD_87,P_acuta,Inner reef,Reef,CB,Cryptic,31.1
CD_88A,P_acuta,Inner reef,Reef,CB,Cryptic,31.1
CD_89A,P_acuta,Inner reef,Reef,CC,Exposed,32.1
CD_90A,P_acuta,Inner reef,Reef,CC,Exposed,32.1
CD_91,P_acuta,Inner reef,Reef,CC,Cryptic,32.1
CD_92,P_acuta,Inner reef,Reef,CC,Cryptic,32.1
CD_93_rd_CL,P_acuta,Inner reef,Reef,CD,Exposed,NA
CD_94,P_acuta,Inner reef,Reef,CD,Exposed,NA
CD_95.2,P_acuta,Inner reef,Reef,CD,Cryptic,NA
CD_96.2,P_acuta,Inner reef,Reef,CD,Cryptic,NA
CD_97,P_acuta,Inner reef,Reef,CE,Exposed,34
CD_98A,P_acuta,Inner reef,Reef,CE,Exposed,34
CD_99,P_acuta,Inner reef,Reef,CE,Cryptic,34
CD_100A.2,P_acuta,Inner reef,Reef,CE,Cryptic,34
CD_101A_rd_CL,P_acuta,Inner reef,Hybrid,CF,Exposed,36
CD_102.2,P_acuta,Inner reef,Hybrid,CF,Exposed,36
CD_103,P_acuta,Inner reef,Hybrid,CF,Cryptic,36
CD_104,P_acuta,Inner reef,Hybrid,CF,Cryptic,36
CD_121,P_acuta,Outer reef,Hybrid,DA,Exposed,36.1
CD_122A,P_acuta,Outer reef,Hybrid,DA,Exposed,36.1
CD_123A,P_acuta,Outer reef,Hybrid,DA,Cryptic,36.1
CD_124,P_acuta,Outer reef,Hybrid,DA,Cryptic,36.1
CD_125,P_acuta,Outer reef,Hybrid,DB,Exposed,37.1
CD_126A,P_acuta,Outer reef,Hybrid,DB,Exposed,37.1
CD_127_rd_CL,P_acuta,Outer reef,Hybrid,DB,Cryptic,37.1
CD_128A,P_acuta,Outer reef,Hybrid,DB,Cryptic,37.1
CD_129A,P_acuta,Outer reef,Hybrid,DC,Exposed,38.1
CD_130,P_acuta,Outer reef,Hybrid,DC,Exposed,38.1
CD_131,P_acuta,Outer reef,Hybrid,DC,Cryptic,38.1
CD_132,P_acuta,Outer reef,Hybrid,DC,Cryptic,38.1
CD_133,P_acuta,Outer reef,Reef,DD,Exposed,39
CD_134,P_acuta,Outer reef,Reef,DD,Exposed,39
CD_135,P_acuta,Outer reef,Reef,DD,Cryptic,39
CD_136,P_acuta,Outer reef,Reef,DD,Cryptic,39
CD_137A,P_acuta,Outer reef,Hybrid,DE,Exposed,40.1
CD_138,P_acuta,Outer reef,Hybrid,DE,Exposed,40.1
CD_139,P_acuta,Outer reef,Hybrid,DE,Cryptic,40.1
CD_140,P_acuta,Outer reef,Hybrid,DE,Cryptic,40.1
CD_141,P_acuta,Outer reef,Reef,DF,Exposed,41
CD_142,P_acuta,Outer reef,Reef,DF,Exposed,41
CD_143,P_acuta,Outer reef,Reef,DF,Cryptic,41
CD_144,P_acuta,Outer reef,Reef,DF,Cryptic,41